country_name,GDP Growth (% Annual),Inflation (CPI %),Unemployment Rate (%),Public Debt (% of GDP),Norm_GDP_Growth,Norm_Inflation,Norm_Unemployment,Norm_Debt,Investment Score
Kazakhstan,5.09999999973641,9.79077295660751,4.807499999999999,20.8220895673088,0.2649027397177349,0.9320875558181797,0.8648129423660263,0.9891613434274926,0.6631734642094338
Switzerland,0.716066868695833,1.59887064996486,4.0765,20.0953886501017,0.2188399351323725,0.9681808612250402,0.8859309547883866,0.9933950507598428,0.6570373474076029
Moldova,0.78324270969388,9.04737279910024,1.4945,34.6190791884973,0.21954576424615185,0.9353629572963761,0.9605228946988299,0.9087810731670961,0.6487516907309212
Kyrgyz Republic,6.15139183716032,10.7532770416742,3.64,44.0004229803138,0.2759499102156132,0.9278467882165575,0.8985410949010544,0.8541260382576078,0.6464827483612893
Bulgaria,1.88681483907177,5.944680415473215,4.2115,30.1482884982849,0.2311412028219497,0.9490333380692256,0.8820309114545717,0.9348275785152665,0.6456348467365927
Mexico,3.19998116598492,5.125108378836605,2.738,45.2613919277323,0.2449388867958202,0.9526443508369513,0.9245991622129135,0.8467797237668142,0.642780202081664
Uganda,5.33697295511469,4.3371643568347755,2.864,53.1469350748667,0.2673926588404325,0.9561160114067511,0.9209591217680196,0.8008391159444188,0.6425399133600109
Papua New Guinea,3.03570475499642,1.4505519170379135,2.701,52.3812659719648,0.24321280384903224,0.9688343496486935,0.9256680629784775,0.8052998491268786,0.6372455738904228
Thailand,1.88725725050934,1.22802623546169,0.713,61.2356482560744,0.2311458513215928,0.9698147919300288,0.9830998122201358,0.7537148541006745,0.633784232178805
"Korea, Rep.",1.35673324311098,2.95959976836276,2.6395,52.2965549034288,0.2255715364426536,0.9621855246343537,0.9274447493861043,0.8057933697259311,0.6293133433263393
Malaysia,3.55548715410509,2.16148290287827,3.8475,64.3209101553548,0.24867425464250512,0.9657020064841114,0.8925465838509317,0.7357403399423533,0.6182674879124813
Georgia,7.8322012152783,1.7987390730040551,11.508500000000002,43.4063813839174,0.2936104884259191,0.9673002462269717,0.6712263469594105,0.8575868819180924,0.6166668903912627
Lithuania,0.34226255222913,4.916527729566736,7.172499999999999,36.9310516393631,0.21491230333054256,0.9535633516739065,0.7964899609995667,0.8953116877766927,0.6150379214222502
Estonia,-3.02303584066192,6.3398928064028395,7.103,28.2527574202604,0.17955248428002252,0.9472920427030893,0.7984977610862343,0.94587080638757,0.6101531157473878
Iceland,5.03717943960838,7.296570749536819,3.3125,81.0578812308369,0.2642426723538804,0.943076944929091,0.9080023111367904,0.638231948958161,0.6035593099463606
Armenia,8.29999999959539,1.1249653772073325,13.286999999999999,48.2562845172053,0.29852573766516866,0.970268875352075,0.6198468871876354,0.829331694714665,0.6032997865169425
Bosnia and Herzegovina,2.21112447211205,3.89901423224002,10.6955,40.4237746125128,0.23454878473648932,0.9580464892944365,0.6947132745919399,0.8749633346768746,0.5993641336072459
Canada,1.24892730403391,3.130292715347995,5.9325,62.2285228239297,0.22443879929625696,0.9614334560139383,0.8323125812509027,0.7479304382034327,0.5981108148121576
Vanuatu,2.21294177094788,11.1825017088175,5.073,71.6535726531403,0.2345678794349361,0.925955635658891,0.8571428571428571,0.6930207750602352,0.5890510053463711
Croatia,3.30254488086325,7.9412817758683,5.661,75.5596439603656,0.24601654291300373,0.9402363651587873,0.8401560017333526,0.6702642842639404,0.5885379473964176
Turkiye,5.11116818488702,56.1829297446829,8.9185,33.1072230203582,0.2650200859259887,0.7276849371398308,0.7460494005488949,0.9175890385803078,0.5842727096242022
El Salvador,3.51097706608982,2.449664617396029,2.9154999999999998,101.704452248702,0.2482065788306165,0.9644322854540733,0.9194713274591939,0.517946509602767,0.5796526560354535
Uruguay,0.3674751756175,5.359123632546375,8.378,62.9774931742993,0.21517721707569068,0.951613285803966,0.7616640184890943,0.7435669907534703,0.5774397458395825
Austria,-0.954962366849259,5.376024956411075,5.3515,78.3363673054487,0.201282118707588,0.9515388190169861,0.8490972121912465,0.6540872935547957,0.5714575124356409
"Bahamas, The",2.63905598075102,3.05291578969743,8.553,78.5268925097758,0.2390451410606282,0.9617743767066429,0.756608406760075,0.6529773074030549,0.5698900745982058
Brazil,2.90848048667777,4.480513449677705,7.7905,83.6989369386242,0.24187603468880403,0.9554844190861759,0.7786364292936587,0.6228453481565855,0.5681436531828057
Colombia,0.610409565791542,9.172495216075589,9.600999999999999,71.8790882440625,0.21772977410773534,0.9348116712287341,0.72633251480572,0.6917069374301466,0.5576621343360143
United States,2.88755600906016,3.532931794298475,3.872,114.755553330184,0.24165617729254807,0.9596594388563469,0.891838798208869,0.4419117323848285,0.5553444648070281
France,0.936487502671483,3.43870334399952,7.3525,98.4729036917015,0.22115593592114183,0.9600746069219983,0.7912899032211469,0.5367732793187044,0.5460899322608267
Spain,2.67566349258229,3.153269800136025,11.7865,107.25996894973,0.23942978302788373,0.9613322195846485,0.66319514661274,0.4855804684499209,0.5177934801406154
